app_id,app_name,app_name,reviewId,userName,score,content,thumbsUpCount,at,sentiment_hint,contradiction_flag
com.newnote.ai,NewNote,UNKNOWN,r_2009,Kenza,3,Promising but buggy.,1,2025-02-02 11:30:00,NEUTRAL,False
com.otter.ai,Otter AI,UNKNOWN,r_2007,Nadia,1,Stopped syncing.,0,2025-02-02 10:00:00,NEUTRAL,False
com.otter.ai,Otter AI,UNKNOWN,r_2008,Rachid,2,Battery drain issue.,0,2025-02-02 10:00:00,NEUTRAL,False
com.ghost.notes,Ghost Notes AI,UNKNOWN,r_2006,Hamza,3,Needs more languages.,2,2025-02-02 09:15:00,NEUTRAL,False
com.ghost.notes,Ghost Notes AI,UNKNOWN,r_2005,Leila,5,Amazing features!,5,2025-02-02 08:20:00,POS,False
com.notewise.ai,Notewise,UNKNOWN,r_2004,Omar,2,Crashes sometimes.,0,2025-02-01 12:00:00,NEUTRAL,False
com.notewise.ai,Notewise,UNKNOWN,r_2003,Sara,4,Clean UI and fast.,3,2025-02-01 11:30:00,NEUTRAL,False
com.otter.ai,Otter AI,UNKNOWN,r_2002,Youssef,2,Too expensive for premium.,1,2025-02-01 10:45:00,NEUTRAL,False
com.otter.ai,Otter AI,UNKNOWN,r_2001,Amina,5,Great transcription quality.,4,2025-02-01 09:10:00,POS,False
